X,Strategy,Killed,Survived,Timeout,Error
1,Block,629,284,63,0
1,Path,604,311,61,0
1,Spec,595,325,56,0
1,Spec_bva,796,101,79,0
2,Block,778,133,65,0
2,Path,764,134,78,0
2,Spec,761,142,73,0
2,Spec_bva,816,81,79,0
3,Block,785,126,65,0
3,Path,779,119,78,0
3,Spec,787,116,73,0
3,Spec_bva,816,81,79,0
4,Block,794,117,65,0
4,Path,785,113,78,0
4,Spec,794,107,75,0
4,Spec_bva,816,80,80,0
5,Block,797,113,66,0
5,Path,789,108,79,0
5,Spec,796,105,75,0
5,Spec_bva,818,78,80,0
6,Block,802,108,66,0
6,Path,791,106,79,0
6,Spec,797,104,75,0
6,Spec_bva,818,78,80,0
7,Block,802,108,66,0
7,Path,791,106,79,0
7,Spec,798,103,75,0
7,Spec_bva,818,78,80,0
8,Block,803,107,66,0
8,Path,792,105,79,0
8,Spec,798,103,75,0
8,Spec_bva,818,78,80,0
9,Block,803,107,66,0
9,Path,792,105,79,0
9,Spec,798,103,75,0
9,Spec_bva,818,78,80,0
10,Block,803,107,66,0
10,Path,792,105,79,0
10,Spec,798,103,75,0
10,Spec_bva,818,78,80,0
