X,Strategy,Killed,Survived,Timeout,Error
1,Block,1115,515,121,0
1,Spec,1013,624,114,0
1,SpecBva,1372,228,151,0
2,Block,1358,265,128,0
2,Spec,1340,272,139,0
2,SpecBva,1441,159,151,0
3,Block,1377,246,128,0
3,Spec,1392,220,139,0
3,SpecBva,1448,152,151,0
4,Block,1389,234,128,0
4,Spec,1407,203,141,0
4,SpecBva,1449,150,152,0
5,Block,1401,221,129,0
5,Spec,1413,195,143,0
5,SpecBva,1454,145,152,0
6,Block,1411,211,129,0
6,Spec,1413,195,143,0
6,SpecBva,1456,143,152,0
7,Block,1415,207,129,0
7,Spec,1414,194,143,0
7,SpecBva,1456,143,152,0
8,Block,1416,206,129,0
8,Spec,1416,192,143,0
8,SpecBva,1456,143,152,0
9,Block,1417,205,129,0
9,Spec,1418,190,143,0
9,SpecBva,1456,143,152,0
10,Block,1417,205,129,0
10,Spec,1418,190,143,0
10,SpecBva,1456,143,152,0
