X,Strategy,Killed,Survived,Timeout,Error
1,Block,72,17,7,0
1,Path,57,27,12,0
1,Spec,54,30,12,0
1,Spec_bva,75,7,14,0
2,Block,76,11,9,0
2,Path,75,9,12,0
2,Spec,69,15,12,0
2,Spec_bva,75,7,14,0
3,Block,76,11,9,0
3,Path,80,4,12,0
3,Spec,78,6,12,0
3,Spec_bva,78,4,14,0
4,Block,78,9,9,0
4,Path,81,3,12,0
4,Spec,78,6,12,0
4,Spec_bva,78,4,14,0
5,Block,79,8,9,0
5,Path,81,3,12,0
5,Spec,80,4,12,0
5,Spec_bva,78,4,14,0
6,Block,79,8,9,0
6,Path,82,2,12,0
6,Spec,80,4,12,0
6,Spec_bva,79,3,14,0
7,Block,79,8,9,0
7,Path,82,2,12,0
7,Spec,80,4,12,0
7,Spec_bva,79,3,14,0
